treatment,outcome,effect,stderr,p_value,error
mean_years_in_school_women_25_years_and_older,mean_years_in_school_women_25_to_34_years,,,,exog contains inf or nans
mean_years_in_school_women_45_to_54_years,mean_years_in_school_women_25_to_34_years,,,,exog contains inf or nans
urban_population,mean_years_in_school_women_25_to_34_years,,,,exog contains inf or nans
median_age_years,net_barter_terms_of_trade_2000_100,,,,exog contains inf or nans
teen_fertility_rate_births_per_1000_women_ages_15_19,median_age_years,,,,exog contains inf or nans
medical_doctors_per_1000_people,sex_ratio_all_age_groups,,,,exog contains inf or nans
medical_doctors_per_1000_people,stomach_cancer_deaths_per_100000_men,,,,exog contains inf or nans
plane_crash_affected_annual_number,yearly_co2_emissions_1000_tonnes,,,,exog contains inf or nans
subsistence_incomes_per_person,poisonings_deaths_per_100000_people,,,,exog contains inf or nans
population_aged_0_14_years_male_percent,population_aged_0_14_years_female_percent,,,,exog contains inf or nans
population_aged_0_4_years_both_sexes_percent,population_aged_10_14_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_0_4_years_both_sexes_percent,population_aged_20_39_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_0_4_years_female_percent,population_aged_0_4_years_male_percent,,,,exog contains inf or nans
urban_population_growth_annual_percent,population_aged_10_14_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_15_19_years_both_sexes_percent,population_aged_20_39_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_40_59_years_both_sexes_percent,population_aged_15_19_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_40_59_years_both_sexes_percent,population_aged_20_39_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_20_39_years_female_percent,population_aged_20_39_years_total_number,,,,exog contains inf or nans
population_aged_20_39_years_male_percent,population_aged_20_39_years_total_number,,,,exog contains inf or nans
population_aged_5_9_years_both_sexes_percent,population_aged_65plus_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_5_9_years_male_percent,population_aged_5_9_years_female_percent,,,,exog contains inf or nans
population_aged_5_9_years_total_number,population_aged_5_9_years_female_percent,,,,exog contains inf or nans
population_aged_70plus_years_both_sexes_percent,population_aged_65plus_years_both_sexes_percent,,,,exog contains inf or nans
population_aged_65plus_years_female_percent,population_aged_65plus_years_male_percent,,,,exog contains inf or nans
population_aged_65plus_years_total_number,population_aged_65plus_years_male_percent,,,,exog contains inf or nans
population_aged_70plus_years_total_number,population_aged_70plus_years_female_percent,,,,exog contains inf or nans
population_aged_70plus_years_total_number,population_aged_70plus_years_male_percent,,,,exog contains inf or nans
population_density_per_square_km,population_aged_70plus_years_male_percent,,,,exog contains inf or nans
population_growth_annual_percent_with_projections,population_in_urban_agglomerations_m_1_million_percent_of_total,,,,exog contains inf or nans
urban_population_percent_of_total,population_growth_annual_percent_with_projections,,,,exog contains inf or nans
population_total,wood_removal_cubic_meters,,,,exog contains inf or nans
sex_ratio_above_50_years,sex_ratio_15_49_years,,,,exog contains inf or nans
sex_ratio_above_50_years,stomach_cancer_deaths_per_100000_men,,,,exog contains inf or nans
stomach_cancer_deaths_per_100000_men,sex_ratio_all_age_groups,,,,exog contains inf or nans
trade_balance_percent_of_gdp,surviving_kids_per_woman,,,,exog contains inf or nans
tax_revenue_percent_of_gdp,under_five_mortality_from_ihme_per_1000_born,,,,exog contains inf or nans
total_health_spending_per_person_us,total_population_with_projections,,,,exog contains inf or nans
under_five_mortality_from_cme_per_1000_born,trade_balance_us_not_inflation_adjusted,,,,exog contains inf or nans
urban_population_growth_annual_percent,wood_removal_cubic_meters,,,,exog contains inf or nans
